;text;productCategory;hazardCategory
0;Notification - Parador Plus brand Bouillon Chicken Concentrate recalled due to yeast and mould Recall / advisory date: September 20, 2019 Reason for recall / advisory: Microbiological - Non harmful (Quality/Spoilage) Hazard classification: Class 3 Company / Firm: Les Aliments Parador Foods Inc. Distribution: Quebec Extent of the distribution: Hotel/Restaurant/Institutional Reference number: 13227 Contents Affected products Public enquiries and media Affected products Brand Name Common Name Size UPC Code(s) on Product Parador Plus Bouillon Chicken Concentrate 2 L 7 72288 00075 0 08824 Public enquiries and media Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: cfia.enquiries-demandederenseignements.acia@canada.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@canada.ca Report a problem on this page Date modified: 2019-09-24;poultry meat and poultry meat products;biological
1;"KP Snacks is recalling Popchips Veg Vibes Sea Salt & Balsamic Vinegar because they contain milk which is not mentioned in the ingredients list. As a result of a packaging error, some packs contain Sour Cream & Onion flavoured chips which contain milk. This means the product is a possible health risk for anyone with an allergy or intolerance to milk or milk constituents. Product details Batch code YP1D 1344 00:43 to 02:30 Best before 09 07 2022 Allergens Milk Risk statement Allergen(s): Milk This product contains milk making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents. Action taken by the company KP Snacks is recalling the above product from customers and has been advised to contact the relevant allergy support organisations, which will tell their members about the recall. The company has also issued a point-of-sale notice to its customers. These notices explain to customers why the product is being recalled and tell them what to do if they have bought the product. Customer Notice: Popchips Veg Vibes Sea Salt & Balsamic Vinegar Our advice to consumers If you have bought the above product and have an allergy or intolerance to milk or milk constituents do not eat it. Instead return it to the store from where it was bought for a full refund. Consumers can also contact KP Snacks on 08000196193 or via the web form at https://www.kpsnacks.com/contact/, by social media at https://www.facebook.com/popchipsuk; https://www.instagram.com/popchipsuk/; https://twitter.com/popchipsUK. About allergy alerts Sometimes there will be a problem with a food product that means it should not be sold. Then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). Sometimes foods have to be withdrawn or recalled if there is a risk to consumers because the allergy labelling is missing or incorrect or if there is any other food allergy risk. When there is a food allergy risk, the FSA will issue an Allergy Alert. Ref: FSA-AA-08-2022 Subscribe to news and alerts
KP Snacks is recalling Popchips Veg Vibes Sea Salt & Balsamic Vinegar because they contain milk which is not mentioned in the ingredients list. As a result of a packaging error, some packs contain Sour Cream & Onion flavoured chips which contain milk. This means the product is a possible health risk for anyone with an allergy or intolerance to milk or milk constituents. Product details Batch code YP1D 1344 00:43 to 02:30 Best before 09 07 2022 Allergens Milk Risk statement Allergen(s): Milk This product contains milk making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents. Action taken by the company KP Snacks is recalling the above product from customers and has been advised to contact the relevant allergy support organisations, which will tell their members about the recall. The company has also issued a point-of-sale notice to its customers. These notices explain to customers why the product is being recalled and tell them what to do if they have bought the product. Customer Notice: Popchips Veg Vibes Sea Salt & Balsamic Vinegar Our advice to consumers If you have bought the above product and have an allergy or intolerance to milk or milk constituents do not eat it. Instead return it to the store from where it was bought for a full refund. Consumers can also contact KP Snacks on 08000196193 or via the web form at https://www.kpsnacks.com/contact/, by social media at https://www.facebook.com/popchipsuk; https://www.instagram.com/popchipsuk/; https://twitter.com/popchipsUK. About allergy alerts Sometimes there will be a problem with a food product that means it should not be sold. Then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). Sometimes foods have to be withdrawn or recalled if there is a risk to consumers because the allergy labelling is missing or incorrect or if there is any other food allergy risk. When there is a food allergy risk, the FSA will issue an Allergy Alert. Ref: FSA-AA-08-2022 Subscribe to news and alerts";prepared dishes and snacks;allergens
2;"Long Island City, NY - SHRI SHIVA Foods Inc. is recalling MTR Sambar Powder, Net Quantity: 200 g (LOT NO# 15J27C, MFD.27.10.15) because it may be contaminated with Salmonella, with Salmonella, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Healthy persons infected with Salmonella often experience fever, diarrhea (which may be bloody), nausea,vomiting and abdominal pain. In rare circumstances, infection with Salmonella can result in the organism getting into the bloodstream and producing more severe illnesses such as arterial infections (i.e., infected aneurysms), endocarditis and arthritis.
The product was sold between January 2016 to October 2016 thru one NY and one OH via wholesaler.
Product is packed in 200g plastic pouches under MTR Brand stamped with MFD.27.10.15 on the back. No illnesses have been reported to date.
The U.S. Food and Drug Administration discovered the potential contamination through previous product sampling.
Consumers who have purchased the product are urged to return it to the place of purchase for a full refund. Consumers with questions may contact the company's consumer affairs at 347-581-7931, Monday through Friday 10am-5pm, EST.";herbs and spices;biological
3;PRA No. 2011/12883 Date published 25 Oct 2011 Product description Packed in a twin pack 500g net (12 per pack) available for purchase in Coles Supermarkets Identifying features Available for purchase in Coles Supermarkets between: 17 October 2011 and 25 October 2011 Julian Code 28511 (located on side of product) What are the defects? The recall of the above product is due to the use of incorrect packaging and labeling, which does not state the undeclared allergens, EGG and sulphites. What are the hazards? Any consumers who have an EGG allergy or an EGG or sulphites intolerance may have a reaction if the product is consumed. What should consumers do? Consumers who have an EGG allergy or an EGG or sulphites intolerance should not consume this product. Customers should return the product to the place of purchase for a full cash refund. We apologise for any inconvenience. For further information contact Kerry Pinnacle Pty Ltd on 1800 077 665 Supplier Kerry Pinnacle Pty Ltd Traders who sold this product Coles Supermarkets Where the product was sold New South Wales Queensland Tasmania Victoria Dates available for sale 17 October 2011 - 25 October 2011 Recall advertisements and supporting documentation KP-Recall Press Advertisement.pdf (36.97 KB) Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Bakery × Close;cereals and bakery products;fraud
4;"Recall of Batches of Seven Seas Omega-3 and Immunity 30 Day Duo Pack due to the Presence of 2-Chloroethanol, a Recognised Reaction Product of Ethylene Oxide Friday, 13 August 2021 Summary Category 2: For Information Alert Notification: 2021.61 Product: Seven Seas Omega-3 & Immunity, pack size: 30 Day Duo Pack Batch Code: Batch 247548: Best Before Jul-22  Batch 247549: Best Before Jul-22  Batch 256666: Best Before March-23  Country Of Origin: United Kingdom Message: P&G UK Limited is recalling the above batches of Seven Seas Omega-3 & Immunity 30 Day Duo Pack due to the presence of 2-chloroethanol, which is a recognised reaction product of ethylene oxide. Ethylene oxide is a pesticide that is not permitted for use in foods sold in the EU, but is approved for use by other countries outside the EU. Although the consumption of the contaminated product does not pose an acute risk to health, there is an increased risk if there is continued consumption of contaminated food over a long period of time. Therefore, exposure to this substance needs to be minimised. Point-of-sale recall notices will be displayed in stores supplied with the implicated batches.
Recall of Batches of Seven Seas Omega-3 and Immunity 30 Day Duo Pack due to the Presence of 2-Chloroethanol, a Recognised Reaction Product of Ethylene Oxide Friday, 13 August 2021 Summary Category 2: For Information Alert Notification: 2021.61 Product: Seven Seas Omega-3 & Immunity, pack size: 30 Day Duo Pack Batch Code: Batch 247548: Best Before Jul-22  Batch 247549: Best Before Jul-22  Batch 256666: Best Before March-23  Country Of Origin: United Kingdom Message: P&G UK Limited is recalling the above batches of Seven Seas Omega-3 & Immunity 30 Day Duo Pack due to the presence of 2-chloroethanol, which is a recognised reaction product of ethylene oxide. Ethylene oxide is a pesticide that is not permitted for use in foods sold in the EU, but is approved for use by other countries outside the EU. Although the consumption of the contaminated product does not pose an acute risk to health, there is an increased risk if there is continued consumption of contaminated food over a long period of time. Therefore, exposure to this substance needs to be minimised. Point-of-sale recall notices will be displayed in stores supplied with the implicated batches.";dietetic foods, food supplements, fortified foods;chemical
5;"Recall of a Batch of The Wild Wok Vegan Gyoza Due to Possible Presence of Pieces of Plastic Friday, 13 November 2020 Summary Category 2: For Information Alert Notification: 2020.87 Product: The Wild Wok Vegan Gyoza Asian Style Dumplings, pack size: 410g Batch Code: V00027, best-before date: 13.08.2021 Country Of Origin: Ireland Message: Asian Artisan Food is recalling the above batch of its frozen Vegan Gyoza, due to the possible presence of pieces of plastic. A point-of-sale recall notice will be displayed in Supervalu Ranelagh, Dublin 6, where the implicated batch was sold.
Recall of a Batch of The Wild Wok Vegan Gyoza Due to Possible Presence of Pieces of Plastic Friday, 13 November 2020 Summary Category 2: For Information Alert Notification: 2020.87 Product: The Wild Wok Vegan Gyoza Asian Style Dumplings, pack size: 410g Batch Code: V00027, best-before date: 13.08.2021 Country Of Origin: Ireland Message: Asian Artisan Food is recalling the above batch of its frozen Vegan Gyoza, due to the possible presence of pieces of plastic. A point-of-sale recall notice will be displayed in Supervalu Ranelagh, Dublin 6, where the implicated batch was sold.";prepared dishes and snacks;foreign bodies
6;"WASHINGTON, March 1, 2015 – Oscar’s Hickory House Inc., a Warrensburg, N.Y. establishment, is recalling approximately 32 pounds of beef jerky product due to a processing deviation, the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) announced today.

The following product is subject to recall:[Label]

4-oz and 8 oz. cryovac packages of “Oscar’s Adirondack Mountain Smokehouse Beef Jerky” with code 420 on the label
The product, which bears the establishment number “EST. 4257” inside the USDA mark of inspection, was produced on December 26, 2014 and sold by one retailer in New York. The product was also sold via the internet.

The problem was discovered by FSIS inspectors during a food safety assessment; it was found that the product is susceptible to environmental pathogens and therefore potentially harmful if consumed.

FSIS and the company have received no reports of adverse reactions due to consumption of the product. Anyone concerned about an injury or illness should contact a healthcare provider.

FSIS routinely conducts recall effectiveness checks to verify recalling firms notify their customers of the recall and that steps are taken to make certain that the product is no longer available to consumers. When available, the retail distribution list(s) will be posted on the FSIS website atwww.fsis.usda.gov/recalls.

Consumers and media with questions about the recall can contact Joq Quintal at (518) 623-3431 ext. 2.

Consumers with food safety questions can ""Ask Karen,"" the FSIS virtual representative available 24 hours a day at AskKaren.gov or via smartphone at m.askkaren.gov.The toll-free USDA Meat and Poultry Hotline 1-888-MPHotline (1-888-674-6854) is available in English and Spanish and can be reached from 10 a.m. to 4 p.m. (Eastern Time) Monday through Friday. Recorded food safety messages are available 24 hours a day. The online Electronic Consumer Complaint Monitoring System can be accessed 24 hours a day at: http://www.fsis.usda.gov/reportproblem.

 Label


(Note: The image provided does not correspond to the product lot being recalled. The image reflects a 444 packaging code. The lot being recalled has a packaging code of 420. Besides the different packaging code, the image is representative of the product being recalled.)";meat and meat products (other than poultry);biological
7;Page Content Cerebos (Australia) Ltd has recalled a range of Foster Clark’s dairy desserts from supermarkets nationally due to the possible presence of small pieces of plastic, posing a potential choking hazard, especially to young children. Date notified to FSANZ 22 September 2012 Food type Dairy desserts Product name Foster Clark’s Snak Pack – Chocolate (2 x 140gm) (Best before 21 AUG 2013, 22 AUG 2013, 23 AUG 2013 and 06 SEP 2013) Foster Clark’s Snak Pack – Chocolate (4 x 140gm) (Best before 23 AUG 2013, 24 AUG 2013, 06 SEP 2013 and 07 SEP 2013) Foster Clark’s Snak Pack – Strawberry (2 x 140gm) (Best Before 03 SEP 2013) Foster Clark’s Snak Pack – Banana (4 x 140gm) (Best before 27 AUG 2013 and 28 AUG 2013) Foster Clark’s Custard Cups – Vanilla (4 x 140gm) (Best Before 29 AUG 2013 and 30 AUG 2013) Package description & size Single serve plastic tubs with cardboard outer in a variety of 2 and 4 packs. Date marking Various – see above. Country of origin Australia Reason for recall The products may contain small pieces of plastic, posing a possible choking hazard, especially to young children. Distribution Nationally through Woolworths/Safeway, Coles, Bi-Lo, Franklins, IGA, CCC and Pick N Pay (Qld) Consumer advice Do not consume. Retain packaging and contact Customer Service Centre (see below) to arrange reimbursement. Contact Customer Service Centre on 1800 656 115 or consumer@cerebos.com.au Related links:;ices and desserts;foreign bodies
8;The Co-operative Group recalls certain batch codes of its own brand Lemon and Lime Flavour Still Spring Water Drink (6 x 500ml) due to an unpleasant aroma and possible mould growth Friday 19 November 2010 Recalled from customers Ref: 15/2010 Product: The Co-operative Lemon and Lime Flavour Still Spring Water Drink, 6 x 500ml Best Before dates: December 2010 February 2011 Batch codes: L0158, L0159, L0175, L0179, L0229, L0230 Risk: Certain batches of the above product have been recalled due to an unpleasant aroma and possible risk of mould growth. Action taken by the Company: The Co-operative Group has recalled the above batches of product from consumers on a precautionary basis. Product recall notices have been displayed in stores that sell the product, explaining to customers the reason for recall and the actions they can take if they have bought the affected product. No other Co-operative Group products are known to be affected. Advice to consumers: If you have purchased The Co-operative Lemon and Lime Flavour Still Spring Water Drink with any of the above batch codes, please do not consume the product. For refund information, please refer to the attached recall notice issued by The Co-operative Group. Related links Product Recall Notice: Co-operative Lemon and Lime Flavour Still Spring Water Drink 6 x 500ml  (pdf 28KB) External links  The Food Standards Agency has no responsibility for the content of external websites The Co-operative The Co-operative Group website Get Adobe Acrobat readerYou may need the free Acrobat Reader to view a pdf;non-alcoholic beverages;organoleptic aspects
9;"WASHINGTON, Aug. 3, 2018 – Star Natural Meats, LLC, an Astoria, N.Y. establishment, is recalling approximately 20,000 pounds of raw, non-intact pork sausage products due to misbranding and undeclared allergens, the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) announced today. The products contain milk and soy, known allergens, which are not declared on the product label. In addition, the products contain restricted ingredients, specifically sodium nitrite and sodium nitrate, which are not declared on the finished product label.
The pork sausage items were produced on various dates from Feb. 23, 2017 to Aug. 3, 2018. The following products are subject to recall: [View Label (PDF only)]

• Individual packages of various weights of “LOUKANIKO GREEK BRAND – MADE IN THE U.S.A.” pork sausage.
The products subject to recall bear establishment number “EST. 48109” inside the USDA mark of inspection and are not labeled with a lot code or expiration date. These items were shipped to retail locations in Astoria, N.Y.

The problem was discovered on Aug. 3, 2018 by FSIS Inspection Program Personnel while conducting routine label verification tasks.
There have been no confirmed reports of adverse reactions due to consumption of these products. Anyone concerned about an injury or illness should contact a healthcare provider. 

FSIS is concerned that some product may be in consumers’ refrigerators or freezers. Consumers who have purchased these products are urged not to consume them. These products should be thrown away or returned to the place of purchase.
FSIS routinely conducts recall effectiveness checks to verify that recalling firms are notifying their customers of the recall and that actions are being taken to make certain that the product is no longer available to consumers. When available, the retail distribution list(s) will be posted on the FSIS website at www.fsis.usda.gov/recalls.
Consumers and members of the media with questions about the recall can contact Lena Psorakis, Star Natural Meats supervisor, at (510) 755-7545.
Consumers with food safety questions can ""Ask Karen,"" the FSIS virtual representative available 24 hours a day at AskKaren.gov or via smartphone at m.askkaren.gov. The toll-free USDA Meat and Poultry Hotline 1-888-MPHotline (1-888-674-6854) is available in English and Spanish and can be reached from 10 a.m. to 6 p.m. (Eastern Time) Monday through Friday. Recorded food safety messages are available 24 hours a day. The online Electronic Consumer Complaint Monitoring System can be accessed 24 hours a day at: http://www.fsis.usda.gov/reportproblem.";meat and meat products (other than poultry);fraud
